Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.6478500366210938	0	21.130802	10.401019	71.0	9.0	21.130801687763714	10.401019332486845	5008	5008
3.1936609745025635	1	24.395123	13.874876	111.0	9.0	24.39512195121951	13.874875542742403	5001	10009
4.783926963806152	2	26.510527	14.447997	77.0	8.0	26.510526315789473	14.447997302006295	5037	15046
6.279197931289673	3	28.850574	13.575695	72.0	10.0	28.850574712643677	13.575695605159915	5020	20066
7.742772102355957	4	34.79861	20.568172	116.0	10.0	34.798611111111114	20.568172507376776	5011	25077
9.266250133514404	5	33.373333	18.035353	125.0	12.0	33.373333333333335	18.035352936817056	5006	30083
10.784427165985107	6	40.674797	23.71768	166.0	10.0	40.67479674796748	23.71768094030972	5003	35086
12.381487846374512	7	43.155174	23.965351	125.0	11.0	43.1551724137931	23.965349788549194	5006	40092
13.893465995788574	8	49.623764	27.76416	177.0	14.0	49.62376237623762	27.764159347265796	5012	45104
15.47617793083191	9	47.866665	20.955767	132.0	12.0	47.86666666666667	20.955765960330034	5026	50130
17.00318694114685	10	50.939392	26.723734	166.0	12.0	50.93939393939394	26.72373370371427	5043	55173
18.578917980194092	11	51.295918	22.468668	184.0	21.0	51.295918367346935	22.46866715558442	5027	60200
20.199569940567017	12	54.586956	21.618305	116.0	23.0	54.58695652173913	21.618305535251853	5022	65222
21.880379915237427	13	56.886364	23.319145	128.0	16.0	56.88636363636363	23.31914538147387	5006	70228
23.817897081375122	14	53.48936	19.008253	113.0	23.0	53.48936170212766	19.008253907549015	5028	75256
25.933732986450195	15	59.294117	20.630545	114.0	19.0	59.294117647058826	20.630544761654495	5040	80296
28.245699882507324	16	60.506023	20.389801	114.0	29.0	60.506024096385545	20.389799891462328	5022	85318
30.528719902038574	17	64.64103	26.158283	153.0	26.0	64.64102564102564	26.15828268052424	5042	90360
32.37630081176758	18	63.275	24.672848	151.0	29.0	63.275	24.6728469172084	5062	95422
34.166054010391235	19	65.181816	21.332693	126.0	23.0	65.18181818181819	21.33269381174453	5019	100441
36.09124803543091	20	62.8875	26.94624	137.0	28.0	62.8875	26.946239881475115	5031	105472
37.990427017211914	21	65.1039	20.011415	136.0	35.0	65.1038961038961	20.011415194011832	5013	110485
39.847915172576904	22	71.85714	27.023422	189.0	35.0	71.85714285714286	27.02342143627355	5030	115515
43.715643882751465	23	67.346664	27.155107	187.0	30.0	67.34666666666666	27.155106742972347	5051	120566
45.692261934280396	24	68.22973	26.022102	143.0	32.0	68.22972972972973	26.02210458348788	5049	125615
47.59160089492798	25	63.49367	18.56625	117.0	35.0	63.49367088607595	18.56625046003766	5016	130631
49.4829158782959	26	71.05556	29.253628	173.0	37.0	71.05555555555556	29.253626977830027	5116	135747
51.33390808105469	27	68.22973	23.981157	145.0	38.0	68.22972972972973	23.981156621396035	5049	140796
53.29655313491821	28	70.521126	25.798712	178.0	35.0	70.52112676056338	25.798711156217863	5007	145803
55.300421953201294	29	66.17105	20.958849	138.0	34.0	66.17105263157895	20.958849505070106	5029	150832
57.49224400520325	30	70.676056	24.379498	161.0	34.0	70.67605633802818	24.379496492673155	5018	155850
59.93203902244568	31	69.75	23.673561	144.0	38.0	69.75	23.673561202320194	5022	160872
62.5880229473114	32	66.289474	20.806637	169.0	40.0	66.28947368421052	20.80663848357417	5038	165910
64.51355195045471	33	69.21918	24.01726	169.0	35.0	69.21917808219177	24.01725782217974	5053	170963
66.61960673332214	34	69.84722	22.78807	139.0	36.0	69.84722222222223	22.788069321358968	5029	175992
68.56132578849792	35	75.537315	23.665789	162.0	34.0	75.53731343283582	23.66578761060189	5061	181053
70.41682386398315	36	72.6	30.12327	200.0	35.0	72.6	30.123270549052744	5082	186135
72.22363710403442	37	66.1579	22.115757	162.0	34.0	66.15789473684211	22.115755655175924	5028	191163
74.0011100769043	38	69.178085	25.610004	190.0	37.0	69.17808219178082	25.610005785278762	5050	196213
75.79213190078735	39	66.42105	22.037804	126.0	33.0	66.42105263157895	22.037804335836146	5048	201261
77.59354090690613	40	63.175	20.322878	117.0	34.0	63.175	20.322878118022555	5054	206315
79.32398295402527	41	66.4079	22.08487	150.0	33.0	66.40789473684211	22.084870763047235	5047	211362
81.36354279518127	42	66.89333	27.790442	200.0	36.0	66.89333333333333	27.790441202367088	5017	216379
83.40513277053833	43	64.166664	20.861212	119.0	36.0	64.16666666666667	20.861212115794498	5005	221384
85.13907217979431	44	62.592594	19.060513	125.0	35.0	62.592592592592595	19.06051297858635	5070	226454
86.82623505592346	45	61.77778	19.795872	133.0	35.0	61.77777777777778	19.79587187294049	5004	231458
88.52177500724792	46	62.39506	20.940643	128.0	35.0	62.39506172839506	20.940644519627952	5054	236512
90.27807593345642	47	62.04938	22.674236	142.0	35.0	62.04938271604938	22.674236881039217	5026	241538
92.49665689468384	48	61.182926	29.395174	186.0	33.0	61.18292682926829	29.395174669878983	5017	246555
94.23984789848328	49	58.197674	25.414616	160.0	31.0	58.19767441860465	25.41461755150657	5005	251560
96.04149985313416	50	64.35897	31.678665	200.0	35.0	64.35897435897436	31.678664808925667	5020	256580
97.83699989318848	51	65.1039	33.314552	200.0	33.0	65.1038961038961	33.31455140730136	5013	261593
99.63043785095215	52	56.11111	24.679926	172.0	30.0	56.111111111111114	24.679926366018574	5050	266643
101.45964980125427	53	58.870586	33.15056	200.0	32.0	58.870588235294115	33.1505614308927	5004	271647
103.3202121257782	54	54.554348	23.180468	162.0	30.0	54.55434782608695	23.180465975375448	5019	276666
