Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.41707611083984375	0	17.118645	6.9014487	42.0	8.0	17.11864406779661	6.901448498814349	1010	1010
0.7708189487457275	1	21.340425	12.197449	57.0	9.0	21.340425531914892	12.197447580477526	1003	2013
1.1263928413391113	2	22.795454	11.346965	50.0	10.0	22.795454545454547	11.346965043679273	1003	3016
1.5258970260620117	3	36.285713	25.166386	114.0	9.0	36.285714285714285	25.166385095510048	1016	4032
1.908189058303833	4	34.724136	18.706253	81.0	11.0	34.724137931034484	18.706252968430263	1007	5039
2.3059959411621094	5	35.892857	16.855137	76.0	13.0	35.892857142857146	16.85513759259491	1005	6044
2.7044870853424072	6	37.22222	23.957266	121.0	12.0	37.22222222222222	23.957266481882915	1005	7049
3.1741409301757812	7	53.42105	35.944862	159.0	15.0	53.421052631578945	35.94486390288924	1015	8064
3.590121030807495	8	48.590908	16.756704	85.0	25.0	48.59090909090909	16.756705824315368	1069	9133
4.037474870681763	9	58.941177	29.310652	130.0	21.0	58.94117647058823	29.31064971731625	1002	10135
4.488775968551636	10	63.0	31.294968	140.0	22.0	63.0	31.29496764657219	1008	11143
4.994350910186768	11	74.64286	35.20878	176.0	31.0	74.64285714285714	35.20877963328616	1045	12188
5.399393796920776	12	47.227272	10.920921	71.0	34.0	47.22727272727273	10.920921615212693	1039	13227
5.830924987792969	13	56.27778	21.270233	102.0	23.0	56.27777777777778	21.270233649543506	1013	14240
6.269428014755249	14	54.05	17.687496	102.0	35.0	54.05	17.68749558303832	1081	15321
6.73153018951416	15	57.833332	25.005	128.0	30.0	57.833333333333336	25.004999500099974	1041	16362
7.216961145401001	16	62.17647	28.818367	153.0	33.0	62.1764705882353	28.818366884613596	1057	17419
7.661742925643921	17	64.4375	20.96118	105.0	33.0	64.4375	20.961180638265585	1031	18450
8.252347946166992	18	77.333336	39.68655	191.0	33.0	77.33333333333333	39.686549638665014	1160	19610
8.664849996566772	19	61.588234	15.072603	92.0	33.0	61.588235294117645	15.072603988808975	1047	20657
9.187809228897095	20	84.833336	25.715862	139.0	50.0	84.83333333333333	25.715861944635567	1018	21675
9.616750001907349	21	71.85714	17.695267	100.0	43.0	71.85714285714286	17.695266287332096	1006	22681
10.1217520236969	22	74.85714	27.856411	138.0	37.0	74.85714285714286	27.856410246776857	1048	23729
10.614257097244263	23	79.38461	37.199127	166.0	44.0	79.38461538461539	37.19912832216629	1032	24761
11.081547021865845	24	76.42857	19.783522	114.0	51.0	76.42857142857143	19.783522312824903	1070	25831
11.56168007850647	25	67.875	22.591135	112.0	44.0	67.875	22.59113487631819	1086	26917
12.061625957489014	26	72.333336	32.850502	161.0	40.0	72.33333333333333	32.85050312484659	1085	28002
12.615895986557007	27	83.92308	38.301357	184.0	45.0	83.92307692307692	38.30135875971291	1091	29093
13.089156866073608	28	69.86667	24.899443	144.0	47.0	69.86666666666666	24.899442207049983	1048	30141
13.556907176971436	29	74.0	26.699385	154.0	46.0	74.0	26.69938469060931	1036	31177
14.027039051055908	30	71.0	17.862438	114.0	48.0	71.0	17.862437310363518	1065	32242
14.509155988693237	31	77.85714	20.399078	110.0	48.0	77.85714285714286	20.3990796110901	1090	33332
15.006479978561401	32	71.4	23.277458	134.0	46.0	71.4	23.27745690577044	1071	34403
15.481127977371216	33	68.1875	15.879306	98.0	47.0	68.1875	15.879305518504266	1091	35494
15.934445858001709	34	72.14286	20.423576	105.0	46.0	72.14285714285714	20.423575812760895	1010	36504
16.463945150375366	35	72.4	16.855463	118.0	50.0	72.4	16.8554640003373	1086	37590
17.135288953781128	36	76.14286	36.17982	155.0	39.0	76.14285714285714	36.17982299344117	1066	38656
18.186081886291504	37	79.0	45.98913	200.0	47.0	79.0	45.98912915026767	1106	39762
18.9161319732666	38	77.0	31.120115	161.0	45.0	77.0	31.120114692294088	1001	40763
19.529041051864624	39	63.4375	12.226859	90.0	42.0	63.4375	12.226859521152601	1015	41778
20.154444932937622	40	74.73333	39.325085	200.0	46.0	74.73333333333333	39.32508388067624	1121	42899
20.72861099243164	41	77.53846	31.227737	144.0	47.0	77.53846153846153	31.227737632321944	1008	43907
21.29245901107788	42	84.666664	29.758284	142.0	51.0	84.66666666666667	29.75828549422086	1016	44923
