Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.4331929683685303	0	20.734694	8.710246	47.0	8.0	20.73469387755102	8.710246160218158	1016	1016
0.7879202365875244	1	22.444445	9.970078	57.0	8.0	22.444444444444443	9.970078692558172	1010	2026
1.167752981185913	2	25.146341	15.003351	74.0	10.0	25.146341463414632	15.003350805589992	1031	3057
1.5842523574829102	3	31.90625	19.384851	99.0	13.0	31.90625	19.38485132616446	1021	4078
2.006762981414795	4	38.73077	16.317894	72.0	10.0	38.73076923076923	16.31789412390745	1007	5085
2.4068820476531982	5	39.26923	17.377169	84.0	19.0	39.26923076923077	17.377168248347054	1021	6106
2.8144261837005615	6	36.07143	18.293106	81.0	11.0	36.07142857142857	18.293106764626963	1010	7116
3.270372152328491	7	42.92	19.309935	95.0	14.0	42.92	19.30993526659269	1073	8189
3.6855223178863525	8	46.68182	24.66574	137.0	20.0	46.68181818181818	24.665740619948522	1027	9216
4.146457195281982	9	47.347828	22.95858	108.0	15.0	47.34782608695652	22.958580276610753	1089	10305
4.620620012283325	10	53.736843	21.25495	110.0	21.0	53.73684210526316	21.254948910444256	1021	11326
5.06690526008606	11	56.38889	21.932064	98.0	14.0	56.388888888888886	21.932064018207807	1015	12341
5.529625177383423	12	56.61111	20.672415	103.0	31.0	56.611111111111114	20.672415568387233	1019	13360
5.998927116394043	13	57.833332	32.393845	142.0	24.0	57.833333333333336	32.393843722397484	1041	14401
6.467748165130615	14	64.5	28.650917	114.0	21.0	64.5	28.650916215716382	1032	15433
7.008867263793945	15	81.84615	29.516218	134.0	21.0	81.84615384615384	29.516217586129088	1064	16497
7.490735292434692	16	65.8125	32.573414	156.0	29.0	65.8125	32.57341467746358	1053	17550
8.038297176361084	17	83.07692	35.80602	140.0	38.0	83.07692307692308	35.80601912971002	1080	18630
8.496253252029419	18	67.6	26.904274	152.0	42.0	67.6	26.904274753280376	1014	19644
8.999160051345825	19	69.26667	30.215816	132.0	29.0	69.26666666666667	30.215816314565384	1039	20683
9.510077953338623	20	71.4	26.083967	117.0	37.0	71.4	26.083966978458882	1071	21754
10.041937351226807	21	92.09091	44.434742	166.0	38.0	92.0909090909091	44.434741824294825	1013	22767
10.558665037155151	22	83.30769	34.309418	157.0	32.0	83.3076923076923	34.30941699700763	1083	23850
11.106158256530762	23	87.30769	32.397495	146.0	40.0	87.3076923076923	32.39749424162453	1135	24985
11.635515213012695	24	85.833336	31.355045	150.0	51.0	85.83333333333333	31.355045668741877	1030	26015
12.14775013923645	25	86.833336	39.178722	156.0	41.0	86.83333333333333	39.17872154910395	1042	27057
12.739586114883423	26	102.9	46.838978	179.0	31.0	102.9	46.83897949357991	1029	28086
13.318686246871948	27	96.181816	40.81403	158.0	45.0	96.18181818181819	40.81403096934855	1058	29144
13.923968076705933	28	102.09091	31.970028	162.0	49.0	102.0909090909091	31.970027285382464	1123	30267
14.519113063812256	29	117.44444	43.25149	200.0	41.0	117.44444444444444	43.25148966249245	1057	31324
15.172519207000732	30	131.375	33.192383	167.0	57.0	131.375	33.192384292183654	1051	32375
15.889628171920776	31	111.7	36.375954	182.0	50.0	111.7	36.37595359574784	1117	33492
16.5921630859375	32	135.25	29.810862	187.0	98.0	135.25	29.810862114336782	1082	34574
17.24124312400818	33	105.9	41.812557	181.0	34.0	105.9	41.812557922231925	1059	35633
17.991472244262695	34	135.625	16.992186	170.0	116.0	135.625	16.992185704022894	1085	36718
18.67519736289978	35	113.55556	39.900185	172.0	47.0	113.55555555555556	39.900184101806154	1022	37740
19.354379177093506	36	119.333336	40.499657	189.0	68.0	119.33333333333333	40.49965706301996	1074	38814
20.093074321746826	37	126.44444	36.718483	166.0	40.0	126.44444444444444	36.718481907348064	1138	39952
20.80180811882019	38	139.5	34.824562	197.0	70.0	139.5	34.8245602987317	1116	41068
21.498011112213135	39	134.125	54.620136	200.0	52.0	134.125	54.62013708331388	1073	42141
22.183338165283203	40	154.85715	16.711233	175.0	131.0	154.85714285714286	16.711232932445437	1084	43225
22.831475257873535	41	145.85715	32.62965	200.0	99.0	145.85714285714286	32.629647217691776	1021	44246
23.497388124465942	42	145.14285	32.79995	190.0	96.0	145.14285714285714	32.79995022395427	1016	45262
24.28596305847168	43	156.71428	29.005981	200.0	103.0	156.71428571428572	29.005981086243406	1097	46359
24.9886212348938	44	128.625	57.27115	200.0	40.0	128.625	57.27114784077581	1029	47388
25.720009088516235	45	126.55556	34.06566	200.0	87.0	126.55555555555556	34.06565918637814	1139	48527
26.490442037582397	46	140.625	47.29677	200.0	61.0	140.625	47.2967691814145	1125	49652
27.225560188293457	47	152.57143	35.265755	195.0	105.0	152.57142857142858	35.2657549102207	1068	50720
27.974380016326904	48	126.333336	44.474712	200.0	72.0	126.33333333333333	44.474711915874174	1137	51857
28.60735011100769	49	105.7	41.65105	200.0	54.0	105.7	41.651050406922515	1057	52914
29.249768257141113	50	112.77778	41.893456	200.0	71.0	112.77777777777777	41.893456868526165	1015	53929
