Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.638624906539917	0	15.380368	6.167607	45.0	8.0	15.38036809815951	6.1676064392645165	5014	5014
3.0541679859161377	1	14.603498	5.543382	41.0	8.0	14.603498542274053	5.5433819974916485	5009	10023
4.430917024612427	2	13.911111	5.292331	46.0	8.0	13.911111111111111	5.2923308127987205	5008	15031
5.8704400062561035	3	13.603261	5.000021	45.0	8.0	13.603260869565217	5.000020675760654	5006	20037
7.240490913391113	4	12.841025	3.817686	36.0	8.0	12.841025641025642	3.8176860993524193	5008	25045
8.659806966781616	5	12.421836	3.5175164	31.0	8.0	12.421836228287841	3.5175165504736783	5006	30051
10.084436893463135	6	12.160194	3.3390262	27.0	8.0	12.160194174757281	3.3390260717651237	5010	35061
11.62400197982788	7	12.289927	3.857979	43.0	8.0	12.28992628992629	3.857978967603186	5002	40063
13.004743814468384	8	11.56582	3.026585	29.0	8.0	11.565819861431871	3.0265851052664563	5008	45071
14.558779001235962	9	11.472477	2.7862167	23.0	8.0	11.472477064220184	2.7862167819277754	5002	50073
15.918877840042114	10	10.986842	2.2960305	22.0	8.0	10.986842105263158	2.2960306388128835	5010	55083
17.26965093612671	11	10.936681	2.3086903	23.0	8.0	10.936681222707424	2.308690509317642	5009	60092
18.606507062911987	12	10.675906	2.330267	27.0	8.0	10.67590618336887	2.330267030770345	5007	65099
20.19719696044922	13	10.622081	2.0434403	21.0	8.0	10.62208067940552	2.043440315913588	5003	70102
21.539475917816162	14	10.300411	1.749862	18.0	8.0	10.300411522633745	1.7498617921294448	5006	75108
23.088613986968994	15	10.409563	1.907593	21.0	8.0	10.40956340956341	1.9075928863883933	5007	80115
24.55693483352661	16	10.287475	1.7466623	18.0	8.0	10.28747433264887	1.7466621693792925	5010	85125
25.95953679084778	17	10.313402	1.7185242	19.0	8.0	10.31340206185567	1.7185242329909671	5002	90127
27.505692958831787	18	10.012	1.5387839	19.0	8.0	10.012	1.538783935450328	5006	95133
28.989273071289062	19	9.908911	1.4609164	17.0	8.0	9.908910891089109	1.460916504001362	5004	100137
30.460576057434082	20	9.897233	1.4748592	21.0	8.0	9.897233201581027	1.4748592258689834	5008	105145
31.901113033294678	21	9.964144	1.544399	19.0	8.0	9.96414342629482	1.5443990706384982	5002	110147
33.35077977180481	22	9.924603	1.4564681	18.0	8.0	9.924603174603174	1.4564681409849676	5002	115149
34.78349304199219	23	9.8215685	1.2900544	17.0	8.0	9.821568627450981	1.2900545246860002	5009	120158
36.17144179344177	24	9.630769	1.2050436	16.0	8.0	9.63076923076923	1.2050436413320444	5008	125166
37.69861388206482	25	9.767578	1.1853119	15.0	8.0	9.767578125	1.185311961899265	5001	130167
39.166000843048096	26	9.737354	1.2315114	17.0	8.0	9.737354085603112	1.231511362712943	5005	135172
40.58799409866333	27	9.664093	1.0936391	14.0	8.0	9.664092664092664	1.0936391409253534	5006	140178
42.13913011550903	28	9.602687	1.112446	15.0	8.0	9.602687140115163	1.1124459382183134	5003	145181
43.598690032958984	29	9.626923	1.0612249	15.0	8.0	9.626923076923077	1.0612248700685782	5006	150187
44.94375801086426	30	9.712622	1.1966523	18.0	8.0	9.7126213592233	1.1966522567652866	5002	155189
46.67241811752319	31	9.6358385	1.0896018	16.0	8.0	9.635838150289016	1.0896017642392046	5001	160190
48.25521516799927	32	9.551527	1.0034375	15.0	8.0	9.551526717557252	1.0034375825683428	5005	165195
49.825488805770874	33	9.5190115	0.9878635	14.0	8.0	9.519011406844106	0.9878635066924351	5007	170202
51.33350610733032	34	9.58046	1.0766777	15.0	8.0	9.580459770114942	1.076677778006766	5001	175203
52.80149698257446	35	9.489564	0.9949517	14.0	8.0	9.48956356736243	0.9949517734734373	5001	180204
54.37959599494934	36	9.489564	0.89240164	14.0	8.0	9.48956356736243	0.892401616113039	5001	185205
56.026561975479126	37	9.466919	0.93217134	14.0	8.0	9.466918714555765	0.9321713553508936	5008	190213
57.58182501792908	38	9.425612	0.89127564	13.0	8.0	9.425612052730697	0.8912756427404995	5005	195218
59.106064796447754	39	9.443397	0.97012144	16.0	8.0	9.443396226415095	0.9701214539723663	5005	200223
60.709441900253296	40	9.524714	0.97025996	14.0	8.0	9.524714828897338	0.9702599581339274	5010	205233
62.34354090690613	41	9.482955	0.8702214	14.0	8.0	9.482954545454545	0.8702213569288543	5007	210240
64.07268285751343	42	9.473485	0.9843749	15.0	8.0	9.473484848484848	0.9843748861267734	5002	215242
65.64769411087036	43	9.507605	0.9386804	14.0	8.0	9.507604562737642	0.9386803917467883	5001	220243
67.22452807426453	44	9.449057	0.8764471	13.0	8.0	9.449056603773585	0.8764470818948801	5008	225251
68.74462485313416	45	9.450943	0.8591621	13.0	8.0	9.450943396226416	0.8591620844532484	5009	230260
70.24917984008789	46	9.368914	0.8527593	13.0	8.0	9.368913857677903	0.8527593129148582	5003	235263
71.72951006889343	47	9.509505	0.9606838	17.0	8.0	9.509505703422054	0.9606838417938656	5002	240265
73.32182502746582	48	9.372659	0.8059247	13.0	8.0	9.372659176029963	0.8059247183386818	5005	245270
74.84856605529785	49	9.473485	0.82069445	13.0	8.0	9.473484848484848	0.8206944443473179	5002	250272
76.36109375953674	50	9.39212	0.84107375	13.0	8.0	9.392120075046904	0.841073762378839	5006	255278
77.84532976150513	51	9.411654	0.81900334	13.0	8.0	9.411654135338345	0.8190033191438318	5007	260285
79.48651218414307	52	9.38015	0.7953865	13.0	8.0	9.380149812734082	0.7953864959443783	5009	265294
